player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Jaivon Heiligh,84159,WR,COAST CAR,1,0,28.0,0,0,141,60.0,62.3,61.5,,61.9,70.3,0.0,0,3,1,1,0.0,0,1
Maurquel Dillard,84184,S,FIU,1,0,,0,0,166,,60.0,67.7,,60.0,,,0,0,3,3,0.0,0,0
Kearis Jackson,84188,WR,GEORGIA,1,0,,0,0,173,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Zac Berezowitz,84243,CB,KENTUCKY,1,0,,0,0,202,64.1,65.0,70.3,,60.0,,,0,0,3,3,0.0,0,0
Allen Dailey Jr.,84245,WR,KENTUCKY,1,1,,1,0,202,,62.2,60.0,,60.6,71.5,0.0,0,1,1,1,0.0,0,0
Ahmad Wagner,84249,WR,KENTUCKY,1,0,,0,0,202,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Josh Newton,84268,CB,LA MONROE,12,0,12.0,2,0,209,52.8,53.9,17.7,60.0,63.4,72.6,14.3,1,7,366,374,0.0,0,6
Kenan Jones,84273,S,LSU,1,0,,0,0,211,61.7,62.2,70.1,,60.0,,,0,0,4,4,0.0,0,0
Colby Brunet,84277,WR,LSU,1,0,,0,0,211,,60.1,60.0,,60.0,,,0,0,1,1,0.0,0,0
Naquan Renalds,84280,S,MARSHALL,3,0,2.0,0,0,214,76.0,78.2,72.4,,67.2,77.7,0.0,0,0,8,8,12.5,1,1
Talik Keaton,84282,WR,MARSHALL,1,0,,0,0,214,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Dontay Demus Jr.,84284,WR,MARYLAND,4,0,,0,0,215,,68.9,60.0,,67.1,71.5,,0,0,3,4,0.0,0,0
Brian Cobbs,84285,WR,MARYLAND,1,0,14.0,0,0,215,,57.9,60.0,,60.0,,0.0,0,0,1,1,0.0,0,1
Darryl Jones,84286,WR,MARYLAND,1,0,,0,0,215,,60.0,60.0,,60.0,,,0,1,1,1,0.0,0,0
Elijah Moore,84302,WR,OLE MISS,1,0,,0,0,226,,60.0,60.0,,60.0,,,0,3,1,1,0.0,0,0
Cole Turner,84330,WR,NEVADA,1,0,,1,0,239,,60.0,60.0,,60.0,,,0,1,1,1,0.0,0,0
Cameron Brown,84353,CB,OHIO STATE,13,3,1.0,1,0,260,59.9,62.4,82.2,60.0,71.6,86.5,0.0,0,3,113,117,0.9,1,2
Chris Olave,84355,WR,OHIO STATE,1,0,,0,0,260,,60.0,60.0,,60.0,,,0,2,1,1,0.0,0,0
Darius Savedge,84362,WR,DOMINION,1,0,,0,0,263,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Jahan Dotson,84375,WR,PENN STATE,1,0,,0,0,266,,60.0,60.0,,60.0,,,0,1,1,1,0.0,0,0
Amad Anderson Jr.,84380,WR,PURDUE,1,0,,1,0,273,,60.0,60.0,,60.0,,,0,1,1,1,0.0,0,0
Jesse Matthews,84395,WR,S DIEGO ST,1,0,,0,0,284,,60.0,60.0,,60.0,,,0,2,1,1,0.0,0,0
Kobe Smith,84397,WR,S DIEGO ST,1,0,,0,0,284,,60.0,60.0,,60.0,,,0,1,1,1,0.0,0,0
