player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jarez Parks,82648,ED,ALABAMA,6,0,0,,0,0,103,0,0,60.0,75.7,73.5,74.9,60.0,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,1,11,11,0,0,11,0,0,0,9,1,0,0,0,0,0,1,0,0,0,
Jaylen Moody,82649,LB,ALABAMA,7,1,0,,0,0,103,0,0,47.3,55.8,74.4,59.7,64.4,58.0,1,0,0,0,,25.0,1,0,0,0.0,0,0,0,37,0,10,39,0,0,0,0,0,0,39,1,28,1,0,2,0,0,1,0,0,0,
McKenzie Barnes,83020,CB,ARIZONA,3,0,0,100.0,0,0,109,0,0,49.2,45.4,73.1,,46.4,73.5,0,0,0,0,14,0.0,0,0,0,147.9,2,0,0,1,21,13,24,0,0,0,0,0,0,24,0,11,1,0,1,0,2,0,2,20,0,10.0
Dominique Harrison,83022,CB,N TEXAS,3,0,0,0.0,0,0,251,0,0,67.2,62.3,78.5,,50.7,27.3,0,0,0,0,,50.0,1,0,0,39.6,0,0,0,4,57,21,66,5,0,0,5,0,0,61,0,45,0,0,1,0,2,0,0,0,0,
Terin Adams,83023,CB,UTAH ST,6,0,0,87.5,0,0,329,0,0,55.6,58.5,79.6,,69.4,44.8,0,0,0,0,19,25.0,2,0,1,106.3,7,0,0,6,114,57,125,2,0,0,2,0,0,123,0,68,3,1,6,0,8,0,0,76,32,10.9
Jerry Jacobs,83025,CB,ARK STATE,3,0,0,50.0,0,0,113,0,0,64.2,63.1,81.0,,56.7,80.0,0,0,0,0,51,4.8,1,1,0,72.7,11,0,0,2,147,79,156,2,0,0,2,0,0,154,0,77,5,4,20,1,22,0,0,153,37,13.9
Nathan Page,83027,CB,ARK STATE,7,5,1,60.0,2,0,113,0,0,61.6,63.9,28.5,64.9,76.4,79.9,0,0,0,2,56,8.3,3,4,4,72.4,24,0,0,11,359,238,419,7,0,0,7,0,0,412,2,179,42,6,28,0,40,0,1,315,73,13.1
Tyric LeBeauf,83029,CB,BOISE ST,9,0,0,50.0,0,0,120,0,0,61.3,60.0,79.5,55.5,55.2,66.8,0,0,0,0,50,11.1,1,2,0,129.2,8,0,0,1,118,68,124,0,0,0,0,0,5,124,2,54,0,1,8,0,16,0,2,176,46,22.0
Chigozie Anusiem,83031,CB,CAL,11,4,0,50.0,1,0,130,0,0,73.9,73.2,82.2,68.3,58.7,82.4,1,0,0,0,19,5.3,1,5,1,78.5,12,0,0,15,229,150,249,2,0,0,2,0,3,247,4,95,0,3,14,0,24,1,1,120,32,10.0
Damari Kelly,83033,CB,COAST CAR,4,1,0,88.9,0,0,141,0,0,45.8,46.1,76.8,,52.6,51.4,0,0,0,0,28,20.0,2,0,0,144.7,8,0,0,4,55,34,61,1,0,0,1,0,0,60,0,27,1,1,7,0,9,0,2,83,29,10.4
