player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Will Swinney,61209,WR,CLEMSON,12,48.0,0,140,60.9,,60.8,0,0,0,0.0,0.0,,0,0,0,71,0,0,0,148,0,75,0,0,71,0
Caleb Twyford,61722,HB,TEXAS ST,11,22.8,0,314,73.6,61.0,44.0,1,1,54,29.8,30.6,98.1,0,2,0,70,0,0,0,307,57,186,0,0,13,0
Jax Dineen,99489,FB,KANSAS ST,12,74.5,0,199,77.4,58.0,80.2,1,0,5,19.2,17.2,90.0,1,1,0,70,0,0,0,94,5,29,0,0,65,9
Jordan Boatman,59721,T,HOUSTON,3,100.0,0,182,63.7,64.0,61.8,0,2,20,100.0,100.0,95.0,0,2,0,70,0,0,0,70,23,23,0,70,47,0
Nick Mardner,75945,WR,HAWAII,14,33.5,1,180,55.2,,78.8,0,0,0,0.0,0.0,,3,0,0,70,0,0,0,209,0,139,0,0,70,5
Jamaal Neal,61088,FB,UNLV,10,74.5,0,325,58.5,73.9,56.6,0,0,4,15.4,18.5,100.0,0,0,0,70,0,0,0,94,5,27,0,0,65,12
Matt Fink,40553,QB,USC,8,38.7,0,326,50.8,,60.0,0,0,0,0.0,0.0,,3,0,0,70,0,0,0,181,0,97,0,0,70,0
Josh Hokit,50305,HB,FRESNO ST,12,26.3,0,169,76.1,79.3,72.8,0,1,25,18.4,18.2,98.0,0,1,0,70,0,0,0,266,26,143,0,0,44,5
A.D. Miller,48310,WR,OKLAHOMA,9,51.9,0,261,60.2,,68.5,0,0,0,0.0,0.0,,0,0,0,70,0,0,0,135,0,65,0,0,70,0
Jason Shelley,60581,QB,UTAH,9,68.6,0,328,59.1,,60.0,0,0,0,0.0,0.0,,0,0,0,70,0,0,0,102,0,14,0,0,70,0
Kevin Marks Jr.,55019,HB,BUFFALO,13,18.3,1,126,69.8,42.7,59.6,1,2,31,27.7,27.6,95.2,1,3,0,70,0,0,0,383,32,116,0,0,38,0
