player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Bryce Houston,77265,LB,OHIO,2,0,6.0,100.0,78.6,10.5,10.5,0,0,0,0.0,259,51.5,38.1,77.4,54.9,29.2,35.8,0,13,0.0,0,0,0,112.5,2,22,28,0,1,2,0,22,10,1.0,11.0
Keye Thompson,77266,LB,OHIO,9,1,6.3,80.0,80.3,16.0,12.8,0,0,2,20.0,259,65.9,76.8,82.7,62.2,81.6,57.5,0,44,16.7,1,2,0,145.0,8,139,173,1,4,10,1,108,73,0.8,13.5
Jack McCrory,77267,LB,OHIO,13,1,7.5,100.0,50.0,5.0,5.0,0,0,0,0.0,259,63.1,61.0,83.0,65.2,36.3,85.3,0,22,0.0,0,0,0,108.8,10,52,104,7,7,10,0,101,26,2.0,10.1
Vinny DePalma,77273,LB,BOSTON COL,11,3,8.7,64.7,80.3,8.3,5.4,0,0,1,5.9,121,60.6,58.1,81.5,53.7,57.3,59.5,0,21,18.2,2,1,0,105.5,11,94,117,1,6,17,1,122,52,1.3,11.1
Noah Taylor,77559,ED,VIRGINIA,14,3,9.3,54.5,47.1,14.0,7.6,0,0,1,4.5,335,89.7,76.7,92.1,70.7,60.8,79.7,2,25,12.5,3,1,0,29.2,12,181,384,17,18,22,0,103,42,0.6,8.6
Diego Fagot,77563,LB,NAVY,13,4,4.6,71.4,71.5,16.9,12.1,0,0,1,4.8,237,80.6,74.2,58.1,68.1,65.1,73.8,1,45,10.7,3,1,2,72.7,15,261,365,19,21,21,0,156,96,0.6,10.4
Tony Brown,77565,S,NAVY,10,1,10.8,60.0,72.0,17.7,10.6,0,0,0,0.0,237,51.1,45.1,0.0,56.4,38.8,56.8,0,73,33.3,1,0,1,143.8,3,54,75,0,1,5,1,99,56,1.9,33.0
Dyontae Johnson,77568,LB,TOLEDO,12,0,0.8,75.0,82.4,23.7,17.8,0,0,1,25.0,316,69.0,73.3,81.1,65.5,71.9,79.4,0,28,0.0,0,1,0,111.5,3,75,91,1,4,4,0,45,38,0.6,15.0
Davion Tyson,77572,CB,BALL ST,1,0,,,71.4,,,0,0,0,,117,64.0,56.7,76.4,57.9,49.6,26.9,0,,,0,0,0,0.0,0,5,7,0,0,0,0,0,0,0.0,
Rayshawn Wilborn,77573,S,BALL ST,12,3,13.0,51.4,97.3,22.8,11.7,0,0,5,14.3,117,38.7,43.9,32.0,59.4,52.9,66.1,2,75,7.1,2,5,2,85.7,18,425,437,3,23,35,2,382,166,0.9,21.2
Cameron Fleming,77736,CB,MEMPHIS,1,0,43.0,0.0,100.0,,3.0,0,0,0,0.0,218,50.8,48.4,68.2,,60.0,,0,,,0,0,0,39.6,0,3,3,0,0,1,0,0,0,0.0,
Lavarey Banton,77748,HB,UCONN,1,0,20.5,50.0,100.0,7.0,3.5,0,0,0,0.0,146,42.9,42.0,70.5,,60.0,74.2,0,45,0.0,0,0,0,95.8,1,7,7,0,1,2,0,45,11,6.4,45.0
Brian Norris,77750,LB,USF,4,0,2.0,100.0,81.8,2.3,2.3,0,0,0,0.0,327,54.8,61.4,73.7,86.2,56.5,83.2,0,22,0.0,0,0,0,96.9,4,9,11,1,1,4,0,29,21,3.2,7.3
Trenell Troutman,77810,LB,LOUISVILLE,5,0,5.0,100.0,78.3,8.5,8.5,0,0,0,0.0,210,68.7,65.9,79.0,58.0,61.4,85.1,0,9,0.0,0,0,0,120.8,2,18,23,2,2,2,1,7,0,0.4,3.5
Sean Michael Flanagan,77812,S,OKLA STATE,2,0,8.5,50.0,84.2,15.0,7.5,0,0,1,50.0,262,76.8,66.5,0.0,58.0,57.7,81.5,0,23,0.0,0,1,1,91.7,1,16,19,0,1,2,0,23,7,1.5,23.0
