player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Marcus Murphy,83857,S,MISS STATE,3,0,8.5,54.5,100.0,14.8,8.1,0,0,0,0.0,227,85.6,67.0,80.9,,35.7,29.7,2,25,12.5,1,0,0,40.5,6,95,95,0,7,11,0,86,42,1.0,14.3
Shawn Preston Jr.,83858,S,MISS STATE,6,0,6.9,66.7,100.0,12.5,8.3,0,0,2,22.2,227,49.8,53.6,79.2,,61.3,62.2,0,38,27.3,3,2,0,128.5,6,81,81,2,8,9,1,73,55,1.0,12.2
Patrick Peek,83861,S,NEW MEXICO,4,4,6.9,70.0,98.9,23.9,16.7,0,0,0,0.0,241,68.8,65.5,0.0,58.8,63.5,82.4,0,54,9.1,1,0,2,136.3,7,176,178,1,6,10,1,102,100,0.6,14.6
Alex Morris,83862,S,N TEXAS,5,2,8.8,75.0,100.0,13.3,10.0,0,0,0,0.0,251,66.6,62.3,79.3,,51.2,55.9,0,8,11.1,1,0,0,85.4,3,42,42,3,6,4,0,20,6,0.5,6.7
Jaxon Gibbs,83863,CB,N TEXAS,6,1,12.5,69.2,98.4,13.2,9.2,0,0,0,0.0,251,60.0,62.9,83.6,70.6,65.4,81.2,0,31,0.0,0,0,0,96.0,9,125,127,2,9,13,0,113,45,0.9,12.6
Josh Proctor,83864,S,OHIO STATE,11,0,18.0,75.0,98.8,27.0,20.3,0,2,3,75.0,260,80.4,78.3,80.3,63.2,63.6,72.3,1,27,0.0,0,3,0,77.1,3,85,86,2,6,4,0,53,4,0.7,17.7
Marcus Hooker,83865,S,OHIO STATE,6,1,9.0,50.0,100.0,31.0,15.5,0,0,0,0.0,260,77.6,73.6,78.6,,62.1,82.0,0,2,0.0,0,0,0,56.3,1,36,36,1,1,2,0,2,9,0.1,2.0
Justinn Richardson,83871,S,DOMINION,8,0,9.0,77.8,97.9,12.6,9.8,0,0,1,11.1,263,52.8,57.7,81.5,57.9,64.9,54.4,0,22,25.0,1,1,0,147.9,7,92,94,0,3,9,2,90,42,1.0,12.9
Jevon Holland,83873,CB,OREGON,14,6,11.1,63.8,97.5,11.6,7.4,0,1,6,8.7,264,85.3,81.5,90.3,52.2,72.4,74.1,4,57,11.1,5,5,1,69.2,44,541,555,11,34,69,2,472,170,0.9,10.7
Steve Stephens IV,83874,S,OREGON,5,1,-4.0,100.0,97.4,37.0,37.0,0,0,0,0.0,264,73.5,70.7,78.9,60.0,59.7,60.8,1,5,0.0,0,0,0,47.9,1,38,39,0,1,1,0,5,9,0.1,5.0
Rashad Scott,83879,S,S DIEGO ST,1,0,,,100.0,,,0,0,0,,284,63.7,64.4,70.1,,60.0,74.3,0,,0.0,0,0,0,0.0,0,2,2,1,1,0,0,0,0,0.0,
Allan Mwata,83880,S,S DIEGO ST,1,0,17.0,0.0,100.0,,2.0,0,0,0,0.0,284,60.6,60.9,67.5,,60.0,,0,,,0,0,0,39.6,0,2,2,0,0,1,0,0,0,0.0,
Bobby Brown II,83885,CB,S JOSE ST,10,4,11.4,65.2,95.4,12.0,7.8,0,1,1,4.3,285,66.4,64.5,87.2,57.8,54.9,38.5,3,55,21.4,3,1,1,58.2,15,186,195,4,7,23,1,148,80,0.8,9.9
Tre Jenkins,83886,S,S JOSE ST,2,1,12.0,100.0,100.0,14.0,14.0,0,0,0,0.0,285,51.9,60.7,75.5,,75.8,81.4,0,30,0.0,0,0,0,158.3,1,15,15,0,0,1,1,30,18,2.1,30.0
Keith Gallmon Jr.,83890,S,S ALABAMA,12,3,6.8,59.1,100.0,20.3,12.0,0,4,3,13.6,288,74.8,76.8,87.6,,75.9,63.2,1,22,18.8,6,3,0,68.4,13,276,276,5,23,22,1,110,74,0.4,8.5
Collin Willis,83898,S,TROY,4,1,2.4,100.0,80.5,4.6,4.6,0,0,0,0.0,318,53.9,61.0,81.2,64.2,74.3,50.1,0,13,33.3,2,0,0,97.0,7,33,41,1,3,7,0,51,34,1.6,7.3
Jaquez Dunmore,83899,S,TROY,12,2,14.1,73.3,99.6,22.6,16.6,0,0,0,0.0,318,50.7,51.5,34.6,60.0,55.2,54.2,0,64,21.4,3,0,2,154.9,11,262,263,0,9,15,3,245,107,1.0,22.3
TJ Harris,83901,CB,TROY,12,4,7.9,74.5,94.5,8.9,6.6,0,1,3,6.4,318,51.1,59.2,88.0,58.5,74.0,70.9,1,43,9.1,2,3,0,94.7,35,326,345,5,16,47,0,445,256,1.4,12.7
Micah Murphy,83902,S,TROY,3,0,,,90.9,,,0,0,0,,318,54.6,57.2,71.3,60.0,63.6,74.3,0,,,0,0,0,0.0,0,10,11,0,0,0,0,0,0,0.0,
Talanoa Hufanga,83903,S,USC,10,3,8.8,77.3,91.5,19.8,15.3,0,0,1,4.5,326,71.1,70.2,53.1,58.7,70.2,78.3,0,36,14.3,5,1,1,136.7,17,354,387,4,27,22,2,211,81,0.6,12.4
Jordan McMillan,83904,S,USC,2,0,,,100.0,,,0,0,0,,326,66.9,70.4,73.8,,70.4,80.1,0,,0.0,0,0,0,0.0,0,16,16,0,1,0,0,0,0,0.0,
Shaq Bond,83906,S,UTAH ST,13,5,11.4,46.2,98.9,71.7,33.1,0,0,3,23.1,329,75.8,73.9,88.0,79.7,66.5,58.9,3,19,23.1,6,3,0,54.3,6,452,457,6,15,13,2,43,11,0.1,7.2
Kelechi Nwachuku,83908,S,UTSA,11,4,11.5,75.0,97.9,30.0,22.5,0,1,2,25.0,331,54.3,56.3,84.2,70.2,57.5,55.6,0,28,25.0,4,2,0,115.6,6,189,193,1,8,8,0,98,44,0.5,16.3
Tyrese Ross,83910,S,WASH STATE,11,0,4.9,87.5,99.2,16.3,14.3,0,0,0,0.0,341,58.5,57.2,3.6,60.0,57.9,30.0,0,19,38.5,5,0,2,139.1,7,119,120,4,8,8,1,63,38,0.6,9.0
Chad Davis Jr.,83913,S,WASH STATE,3,0,5.0,0.0,100.0,,11.0,0,0,0,0.0,341,67.9,58.7,74.9,,44.5,50.9,0,,0.0,0,0,0,39.6,0,11,11,0,2,1,0,0,0,0.0,
Reggie Pearson Jr.,83915,S,WISCONSIN,14,6,10.6,52.0,95.8,27.9,14.5,0,2,4,16.0,349,69.9,68.3,40.3,66.6,64.8,53.8,0,37,16.7,5,4,2,111.0,13,385,402,5,19,25,3,156,65,0.4,12.0
John Torchio,83916,S,WISCONSIN,6,0,11.8,33.3,96.4,26.0,8.7,0,0,1,16.7,349,66.0,61.9,78.3,58.0,51.7,54.6,1,12,33.3,1,1,0,4.2,2,54,56,1,2,6,0,20,3,0.4,10.0
Derrick Deese Jr.,84043,TE,S JOSE ST,1,0,,,100.0,,,0,0,0,,285,60.0,60.0,64.7,,,,0,,,0,0,3,0.0,0,1,1,0,0,0,0,0,0,0.0,
Gerrit Prince,84065,TE,UAB,1,0,,,100.0,,,0,0,0,,321,60.0,60.0,63.1,,,,0,,,0,0,2,0.0,0,1,1,0,0,0,0,0,0,0.0,
Anthony Schwartz,84135,WR,AUBURN,1,0,,,100.0,,,0,0,0,,115,60.0,62.8,78.7,,60.0,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
Matthew Hill,84138,WR,AUBURN,1,0,,,100.0,,,1,0,0,,115,60.0,62.9,60.0,,60.0,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
Jaivon Heiligh,84159,WR,COAST CAR,1,0,,,100.0,,,0,0,0,,141,60.0,62.3,61.5,,61.9,70.3,0,,,0,0,3,0.0,0,1,1,0,0,0,0,0,0,0.0,
Zac Berezowitz,84243,CB,KENTUCKY,1,0,,,100.0,,,0,0,0,,202,64.1,65.0,70.3,,60.0,,0,,,0,0,0,0.0,0,6,6,0,0,0,0,0,0,0.0,
Josh Newton,84268,CB,LA MONROE,12,1,13.1,59.6,99.7,10.8,6.4,2,1,5,10.6,209,52.8,53.9,17.7,60.0,63.4,72.6,0,62,10.0,2,1,7,125.7,28,322,323,4,17,47,5,434,190,1.4,15.5
Kenan Jones,84273,S,LSU,1,0,,,100.0,,,0,0,0,,211,61.7,62.2,70.1,,60.0,,0,,,0,0,0,0.0,0,4,4,0,0,0,0,0,0,0.0,
Naquan Renalds,84280,S,MARSHALL,3,0,5.0,100.0,100.0,5.0,5.0,0,0,0,0.0,214,76.0,78.2,72.4,,67.2,77.7,1,7,0.0,0,0,0,56.3,1,5,5,0,1,1,0,7,2,1.4,7.0
Cameron Brown,84353,CB,OHIO STATE,14,0,11.8,40.0,99.3,16.4,6.6,1,0,1,5.0,260,59.9,62.4,82.2,60.0,71.6,86.5,0,24,0.0,0,0,3,68.3,8,137,138,6,9,20,1,78,12,0.6,9.8
Tyrone Legette,84413,CB,S ALABAMA,2,0,19.0,0.0,100.0,,2.0,0,0,0,0.0,288,51.6,42.5,73.3,,46.8,,0,,,0,0,0,39.6,0,2,2,0,0,1,0,0,0,0.0,
Darius Rush,84416,CB,S CAROLINA,1,0,15.0,50.0,100.0,13.0,6.5,0,0,1,50.0,289,81.7,82.2,72.9,,60.0,77.0,0,2,0.0,0,1,0,56.3,1,13,13,1,2,2,0,2,0,0.2,2.0
TD Marshall,84462,CB,UAB,14,1,14.8,37.8,98.4,17.5,6.6,0,0,8,17.8,321,65.9,60.2,44.3,61.4,33.8,50.5,1,42,4.5,1,5,4,81.1,17,317,322,6,20,45,5,213,55,0.7,12.5
Siaosi Mariner,84476,WR,UTAH ST,1,0,,,100.0,,,0,0,0,,329,60.0,60.0,63.1,,,,0,,,0,0,2,0.0,0,1,1,0,0,0,0,0,0,0.0,
Sam Lockett III,84482,S,UTAH ST,2,0,,,100.0,,,0,0,0,,329,65.3,71.3,74.6,,74.4,80.3,0,,,0,0,0,0.0,0,13,13,0,0,0,0,0,0,0.0,
Luke Martin,84526,LB,CHARLOTTE,12,1,-2.7,83.3,84.9,13.2,11.0,0,0,0,0.0,136,72.1,52.6,80.8,59.7,38.4,56.3,0,11,20.0,1,0,0,81.3,5,73,86,3,3,6,0,21,31,0.3,4.2
Lance McMillan,84527,CB,CHARLOTTE,11,0,12.9,52.6,97.2,10.0,5.3,1,0,3,15.8,136,55.3,57.1,81.6,53.4,65.4,75.1,0,40,11.1,1,3,1,98.1,10,105,108,1,8,19,1,158,46,1.6,15.8
DJ Anderson,84528,CB,CHARLOTTE,6,0,21.5,50.0,92.0,11.0,5.5,0,1,1,25.0,136,51.3,55.0,75.9,68.2,58.1,81.2,0,73,0.0,0,1,0,135.4,2,23,25,2,3,4,1,88,48,4.0,44.0
Matt Martinez,84530,S,CHARLOTTE,4,1,3.0,100.0,95.2,10.0,10.0,0,0,0,0.0,136,77.2,60.1,86.1,60.0,28.2,49.7,0,3,0.0,0,0,0,79.2,2,20,21,3,3,2,0,6,0,0.3,3.0
Jonnie Pitman,84533,CB,CHARLOTTE,11,2,9.2,64.1,92.0,9.1,5.8,0,0,2,5.1,136,49.8,50.3,51.7,61.4,50.4,39.1,0,64,11.8,2,2,3,122.1,25,241,262,8,13,39,4,303,133,1.3,12.1
Markees Watts,84537,ED,CHARLOTTE,13,0,-2.7,66.7,8.0,13.0,8.7,0,0,0,0.0,136,62.0,64.3,53.4,69.2,60.1,67.7,0,40,33.3,3,0,3,109.7,2,28,350,11,6,3,0,50,56,1.9,25.0
Taylor Chandler,84557,ED,CHARLOTTE,7,0,5.0,100.0,13.2,5.0,5.0,0,0,0,0.0,136,48.0,55.9,81.4,53.3,61.7,78.6,0,8,,0,0,0,139.6,1,5,38,0,0,1,1,8,3,1.6,8.0
Darius Muasau,86008,LB,HAWAII,14,3,2.1,78.6,70.2,14.7,11.6,0,0,0,0.0,180,61.0,59.9,85.8,58.5,58.7,60.6,0,25,20.0,3,0,0,123.2,11,167,238,4,9,14,1,110,96,0.7,10.0
Rashawn Yates,86850,DI,USF,12,0,,,0.7,,,0,0,0,,327,60.0,70.5,58.7,71.3,68.0,52.8,0,,,0,0,1,0.0,0,1,144,2,0,0,0,0,0,0.0,
Vincent Davis,86856,S,USF,10,0,11.2,60.0,99.1,18.8,11.3,0,0,0,0.0,327,71.3,72.3,83.5,59.5,71.4,82.6,1,19,12.5,1,0,0,72.5,6,116,117,2,7,10,1,64,34,0.6,10.7
Gabriel Murphy,89099,LB,N TEXAS,1,0,,,100.0,,,0,0,0,,251,63.2,64.9,65.8,,,73.2,0,,0.0,0,0,0,0.0,0,3,3,1,1,0,0,0,0,0.0,
Jeffmario Brown,89110,ED,ARK STATE,9,2,,,22.7,,,0,0,0,,113,67.5,52.7,5.4,68.5,42.5,39.7,0,,0.0,0,0,3,0.0,0,35,154,2,2,0,0,0,0,0.0,
Nihym Anderson,90269,ED,RUTGERS,1,0,,,100.0,,,0,0,0,,278,61.4,56.2,75.1,,54.1,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Tyler Snead,90863,WR,E CAROLINA,1,0,,,100.0,,,0,0,0,,156,60.0,60.0,63.7,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Riley Sharp,90868,ED,OREGON ST,10,1,4.6,80.0,24.0,13.5,10.8,0,0,0,0.0,265,65.5,58.1,89.4,55.4,55.3,70.3,0,10,12.5,1,0,0,95.0,4,55,229,6,6,5,0,34,12,0.6,8.5
Joseph White,90870,S,VIRGINIA,2,0,12.0,0.0,100.0,,7.0,0,0,0,0.0,335,64.8,64.5,70.3,,60.0,76.4,0,,0.0,0,0,0,39.6,0,8,8,0,1,1,0,0,0,0.0,
Andrew Choi,90947,ED,HAWAII,6,0,,,32.1,,,0,1,0,,180,62.3,57.3,0.0,60.3,60.0,49.2,0,,100.0,2,0,1,0.0,0,9,28,2,0,0,0,0,0,0.0,
Vince Sanford,90952,CB,AIR FORCE,4,0,8.5,100.0,93.3,7.0,7.0,0,0,0,0.0,101,71.3,74.8,76.0,59.9,75.0,81.6,0,17,0.0,0,0,0,104.2,2,14,15,1,1,2,0,18,1,1.3,9.0
Michael Lacey,91013,LB,TOLEDO,1,0,3.0,0.0,100.0,,1.0,0,0,0,0.0,316,60.0,65.4,0.0,,67.0,74.3,0,,,0,0,1,39.6,0,1,1,0,0,1,0,0,0,0.0,
Trey Laing,91245,LB,USF,3,0,,,20.0,,,0,0,0,,327,60.9,71.0,0.0,54.4,86.8,81.3,0,,,0,0,1,0.0,0,2,10,0,0,0,0,0,0,0.0,
Devan Wade,91249,CB,W VIRGINIA,1,0,,,100.0,,,0,0,0,,343,60.0,53.3,66.5,,56.9,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Valerian Agbaw,97063,CB,KANSAS,1,0,,,80.0,,,0,0,0,,198,52.3,47.4,71.6,46.9,61.7,24.6,0,,,0,0,0,0.0,0,4,5,0,0,0,0,0,0,0.0,
Ron Cook Jr.,97070,WR,BUFFALO,1,0,,,100.0,,,0,0,0,,126,60.0,55.0,60.0,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Mark Aitken,97088,CB,N ILLINOIS,1,0,13.1,72.7,97.0,3.8,2.7,0,0,1,9.1,254,28.8,32.0,75.3,58.3,70.3,57.9,0,42,20.0,1,1,1,143.8,8,32,33,1,4,11,1,134,24,4.5,16.8
Larry Robbins,97089,CB,BUFFALO,1,0,,,100.0,,,0,0,0,,126,61.8,62.3,67.3,,,,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Skyy Moore,97116,WR,W MICHIGAN,1,0,10.0,0.0,100.0,,1.0,0,0,1,100.0,347,60.0,81.3,60.0,,,,0,,,0,1,2,39.6,0,1,1,0,0,1,0,0,0,0.0,
Randy Jordan,97138,CB,FRESNO ST,8,2,14.6,59.5,99.5,8.9,5.3,0,0,2,5.4,169,55.3,56.4,83.0,60.0,60.8,61.0,0,50,11.1,2,2,3,93.8,22,203,204,3,14,37,1,294,66,1.5,13.4
Antavious Lane,97141,S,GA STATE,1,0,,,100.0,,,0,0,0,,175,49.2,46.8,68.9,,55.3,24.2,0,,100.0,1,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Joshua Carter,97142,LB,S ALABAMA,2,0,,,100.0,,,0,0,0,,288,60.6,49.3,70.9,,47.1,76.1,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Malik Fleming,97144,CB,E CAROLINA,10,1,10.6,75.0,100.0,12.6,9.4,1,0,1,8.3,156,57.7,58.4,0.0,,70.0,53.6,0,38,25.0,1,1,1,116.7,9,122,122,0,2,12,0,153,62,1.4,17.0
Allen Smith,97148,ED,WYOMING,2,0,4.0,100.0,60.0,3.0,3.0,0,0,0,0.0,351,71.4,72.1,73.2,57.7,60.0,72.5,0,4,0.0,0,0,0,83.3,1,3,5,1,1,1,0,4,0,1.3,4.0
Chris McDonald,97222,CB,TOLEDO,12,1,12.9,57.8,99.2,9.5,5.5,1,1,9,14.1,316,59.4,59.4,85.7,56.6,57.2,69.7,0,70,10.7,3,9,4,102.7,37,375,378,7,24,64,3,565,161,1.6,15.3
Jahmal Sam,97223,CB,UTSA,9,0,12.8,75.0,100.0,12.0,9.0,0,0,1,8.3,331,66.9,66.6,81.4,,63.0,65.2,0,39,15.8,3,0,0,143.8,9,115,115,5,16,12,1,148,57,1.4,16.4
Joshua Landrum,97224,CB,RICE,2,0,,,100.0,,,0,0,0,,275,64.2,65.8,72.2,,62.8,74.2,0,,,0,0,0,0.0,0,10,10,0,0,0,0,0,0,0.0,
Brandon Crossley,97225,CB,COLO STATE,8,0,12.6,44.4,97.0,10.3,4.6,0,0,5,18.5,144,64.9,61.5,85.6,56.3,46.4,44.3,0,26,16.7,1,3,1,70.0,12,131,135,2,5,27,1,120,20,1.0,10.0
Tavian Mayo,97231,CB,W VIRGINIA,1,0,15.3,100.0,100.0,4.0,4.0,0,0,0,0.0,343,44.4,45.6,74.6,,56.8,76.2,0,18,0.0,0,0,0,158.3,3,12,12,0,2,3,1,39,0,3.3,13.0
Micah Abraham,97232,S,MARSHALL,11,3,10.4,50.0,97.5,19.3,9.7,1,0,4,13.3,214,76.5,69.1,45.0,63.2,46.9,51.8,1,75,18.2,4,4,1,79.7,15,308,316,4,15,30,1,279,184,1.0,18.6
Deshawn Ruffin,97233,CB,FRESNO ST,3,0,11.7,90.0,100.0,6.7,6.0,0,0,0,0.0,169,51.5,53.6,79.3,,66.7,63.8,0,19,14.3,1,0,1,150.4,9,66,66,1,6,10,1,121,22,2.0,13.4
Solomon Rogers,97235,S,CHARLOTTE,1,0,,,100.0,,,0,0,0,,136,61.9,61.6,69.3,,60.0,78.0,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Rod Heard II,97237,CB,NWESTERN,1,0,3.0,100.0,100.0,3.0,3.0,0,0,0,0.0,256,64.2,65.1,70.2,,60.0,74.2,0,5,0.0,0,0,0,87.5,1,3,3,1,1,1,0,5,2,1.7,5.0
Caleb Blake,97240,S,COLO STATE,1,0,,,100.0,,,0,0,0,,144,60.0,60.0,63.7,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Keondre Swoopes,97241,CB,UAB,7,0,17.3,40.0,100.0,15.2,6.1,0,0,3,20.0,321,59.1,60.0,81.8,,63.3,61.5,0,32,25.0,1,2,2,83.8,6,96,96,1,3,15,1,94,14,1.0,15.7
Isaiah Essissima,97243,CB,WAKE,7,0,16.3,75.0,96.6,9.3,7.0,0,0,0,0.0,339,63.8,66.3,76.4,58.1,71.8,81.7,0,40,0.0,0,0,0,156.3,3,28,29,0,4,4,1,56,-4,2.0,18.7
Fred Peters,97247,CB,MISS STATE,9,2,5.4,72.7,77.8,7.6,5.5,0,0,1,9.1,227,59.7,67.9,82.3,85.7,67.1,84.2,1,18,0.0,0,1,0,98.9,8,63,81,2,3,11,2,91,42,1.5,11.4
Rashad Wisdom,97249,CB,UTSA,12,2,8.0,62.9,87.3,12.4,7.8,0,0,2,5.7,331,76.3,65.1,88.5,54.3,42.0,46.3,1,35,23.3,7,1,0,84.1,22,288,330,10,21,35,1,269,176,1.0,12.2
Jaden Davis,97250,CB,OKLAHOMA,14,0,10.1,65.0,97.8,7.8,5.1,1,0,1,2.5,261,60.6,65.7,28.2,54.0,88.0,81.7,1,40,10.5,2,1,4,109.1,26,220,225,5,17,40,3,367,147,1.8,14.1
Marcus Anderson,97256,LB,GA STATE,2,0,,,75.0,,,0,0,0,,175,60.9,64.4,69.9,60.0,62.1,,0,,,0,0,0,0.0,0,3,4,0,0,0,0,0,0,0.0,
Jordan Murry,97258,CB,WYOMING,9,0,9.4,65.4,97.7,7.0,4.6,1,0,3,11.5,351,59.9,62.7,83.0,57.1,75.4,79.9,0,34,5.6,1,2,1,100.5,17,125,128,4,17,26,1,194,55,1.6,11.4
Reddy Steward,97289,CB,TROY,6,0,19.5,69.2,98.2,6.0,4.2,1,0,0,0.0,318,41.5,46.7,77.7,60.0,73.8,73.8,0,39,11.1,1,0,1,151.4,9,56,57,1,8,13,3,199,48,3.7,22.1
Dell Pettus,97290,S,TROY,12,0,9.9,65.4,97.7,21.1,13.8,0,1,3,11.5,318,65.2,65.4,87.4,51.8,65.3,75.5,0,20,14.8,4,2,2,121.8,17,378,387,4,23,26,4,160,72,0.4,9.4
Jordan Clark,97324,CB,ARIZONA ST,2,0,3.5,100.0,100.0,3.8,3.8,0,0,0,0.0,110,64.7,66.2,75.2,,66.2,80.3,0,16,0.0,0,0,0,99.0,4,15,15,1,4,4,0,31,17,2.1,7.8
Thomas Harper,97325,CB,OKLA STATE,8,1,11.5,100.0,100.0,22.5,22.5,0,0,0,0.0,262,72.3,68.1,77.4,,43.7,54.8,0,21,0.0,0,0,0,118.8,2,46,46,2,5,2,0,30,7,0.7,15.0
Daquan Evans,97326,CB,USF,8,0,19.3,66.7,100.0,7.0,4.7,0,0,0,0.0,327,61.7,64.4,75.5,,67.8,78.2,1,35,0.0,0,0,0,70.1,2,15,15,1,2,3,0,49,3,3.5,24.5
Nic Jones,97327,CB,BALL ST,12,0,15.5,64.5,90.4,8.3,5.4,0,0,3,9.7,117,50.8,52.2,84.5,51.5,64.7,78.1,0,53,6.7,1,3,1,134.1,20,169,187,4,14,31,3,342,101,2.1,17.1
Juan Powell,97330,S,E CAROLINA,4,0,10.0,80.0,100.0,6.3,5.0,0,0,0,0.0,156,55.7,59.4,78.8,,68.0,80.9,0,27,9.1,1,0,0,141.3,8,53,53,3,10,10,2,84,15,1.7,10.5
Jacquez Norman,97332,CB,TULANE,2,0,20.0,0.0,100.0,,3.2,0,0,0,0.0,319,51.0,47.4,0.0,,62.5,,0,,,0,0,1,39.6,0,17,17,0,0,5,0,0,0,0.0,
Mike Coleman,97333,CB,TOLEDO,1,0,,,100.0,,,0,0,0,,316,63.2,68.6,72.9,,70.0,73.5,0,,,0,0,0,0.0,0,4,4,0,0,0,0,0,0,0.0,
Levi Williams,97334,CB,TULANE,2,0,6.0,100.0,100.0,5.0,5.0,0,0,0,0.0,319,64.6,65.3,70.5,,60.5,74.2,0,6,0.0,0,0,0,91.7,1,5,5,0,1,1,0,6,0,1.2,6.0
Kiland Harrison,97335,CB,TULANE,2,0,22.7,66.7,100.0,6.5,4.3,0,0,0,0.0,319,47.8,49.2,74.7,,61.6,73.5,0,20,0.0,0,0,1,147.2,2,14,14,0,1,3,1,36,3,2.8,18.0
Mykael Wright,97337,CB,OREGON,12,3,15.9,34.8,100.0,22.6,7.9,0,1,6,26.1,264,81.9,82.7,82.8,,77.1,89.9,1,21,0.0,0,3,2,28.4,8,187,187,4,15,23,0,85,16,0.5,10.6
Keaton Ellis,97338,CB,PENN STATE,13,1,15.1,47.4,96.1,15.6,7.4,0,0,3,15.8,266,67.3,75.3,82.0,50.0,93.6,44.8,0,42,27.3,3,2,0,102.7,9,146,152,3,7,19,1,199,63,1.4,22.1
Cameron Mitchell,97340,CB,NWESTERN,1,1,,,100.0,,,0,0,0,,256,68.8,60.5,67.4,,49.3,28.1,0,,0.0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Ken Robinson,97341,CB,UTSA,3,0,7.0,0.0,100.0,,9.0,0,0,0,0.0,331,57.1,61.8,73.3,,70.1,27.5,0,,100.0,1,0,0,39.6,0,9,9,0,0,1,0,0,0,0.0,
Ja'Von Kimpson,97342,CB,MIAMI OH,1,1,12.2,60.0,100.0,4.0,2.4,0,0,0,0.0,221,50.3,48.3,73.9,,48.3,46.5,0,30,0.0,0,0,0,129.2,3,14,14,0,2,5,1,45,5,3.8,15.0
AJ Williams,97343,S,WAKE,1,0,,,100.0,,,0,0,0,,339,51.4,47.7,74.5,,51.6,21.8,0,,100.0,1,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Naijee Jones,97346,S,RUTGERS,4,0,,,100.0,,,0,0,0,,278,67.2,67.9,75.8,,65.4,77.7,0,,0.0,0,0,0,0.0,0,21,21,0,1,0,0,0,0,0.0,
Keevan Bailey,97347,CB,COLO STATE,8,1,12.9,64.3,98.3,11.4,7.4,0,1,2,14.3,144,64.9,63.9,82.9,56.7,59.4,56.8,1,37,20.0,2,0,2,91.7,9,117,119,1,7,14,1,141,20,1.4,15.7
Dadrion Taylor-Demerson,97348,S,TEXAS TECH,8,2,16.7,77.8,95.8,15.6,12.1,0,0,0,0.0,315,35.4,38.7,0.0,63.8,59.3,53.2,0,70,12.5,2,0,2,158.3,7,113,118,2,12,9,2,183,95,1.7,26.1
Woo Governor,97349,CB,C MICHIGAN,2,0,,,100.0,,,0,0,0,,134,52.4,52.5,69.7,,60.0,,0,,,0,0,0,0.0,0,5,5,0,0,0,0,0,0,0.0,
Jakeen Harris,97351,S,NC STATE,7,3,16.4,20.0,89.7,66.0,13.2,0,0,0,0.0,248,63.9,59.7,81.7,68.2,51.3,56.7,0,11,0.0,0,0,1,79.2,1,70,78,1,3,5,1,11,0,0.2,11.0
Bryson Whitehead,97352,CB,CHARLOTTE,1,0,31.0,100.0,100.0,1.0,1.0,0,0,0,0.0,136,60.0,41.8,67.0,,60.0,,0,34,,0,0,0,118.8,1,1,1,0,0,1,0,34,3,34.0,34.0
Coco Azema,97353,HB,NWESTERN,2,0,3.0,100.0,80.0,4.0,4.0,0,0,0,0.0,256,72.1,72.7,72.7,59.2,60.0,73.0,0,2,0.0,0,0,0,79.2,1,4,5,1,1,1,0,2,-1,0.5,2.0
Alex Hogan,97354,CB,TEXAS TECH,6,0,15.7,44.4,100.0,23.5,10.4,0,0,2,22.2,315,65.0,64.3,80.3,,57.6,39.5,0,73,28.6,2,1,0,128.2,4,101,101,0,5,9,1,113,61,1.2,28.3
Shi'heem Watkins,97355,CB,COAST CAR,3,0,7.3,66.7,100.0,4.5,3.0,0,0,1,33.3,141,68.4,69.7,74.0,,65.8,78.8,0,16,0.0,0,1,0,91.0,2,9,9,0,2,3,0,24,8,2.7,12.0
Jeremiah Josephs,97357,S,MIAMI OH,1,0,,,100.0,,,0,0,0,,221,66.4,63.1,75.2,,56.5,80.0,0,,0.0,0,0,0,0.0,0,18,18,0,1,0,0,0,0,0.0,
Jaden Henderson,97358,CB,LA LAFAYET,1,0,15.8,50.0,100.0,5.0,2.5,0,0,0,0.0,207,40.6,44.7,77.3,,63.1,,0,28,,0,0,0,125.0,2,11,11,0,0,4,1,40,9,4.0,20.0
