player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
James Bowe Jr.,23787,S,UMASS,6,0,0,216,57.3,0,0,6,4.6,0.0,0,0,0.0,0,153,7,0,0,59.4,0,0,0,2.5,,0,,0,40,1,0
Tim Collins,23804,ED,W MICHIGAN,13,1,0,347,65.0,2,9,167,98.9,7.2,12,1,6.3,5,181,179,16,0,66.6,1,2,40,100.0,10.0,4,8.8,2,44,44,5
Dontavious Jackson,24251,LB,FLORIDA ST,10,0,0,167,60.4,1,1,28,12.2,3.6,1,3,3.6,0,237,29,2,0,63.4,1,0,9,13.7,11.1,1,5.6,0,73,10,1
Alvinoski LaFleur,24504,S,E MICHIGAN,13,0,0,160,60.4,0,2,16,14.8,0.0,0,1,12.5,1,108,16,3,0,61.5,0,1,4,15.4,0.0,0,37.5,1,26,4,2
Mason Vega,24705,ED,HAWAII,9,1,0,180,57.8,1,2,132,100.0,2.3,3,1,1.9,1,139,139,4,0,62.9,0,1,16,100.0,0.0,0,9.4,1,19,19,2
Shawn Featherstone,25441,S,AKRON,8,0,0,102,60.0,0,1,1,0.4,0.0,0,2,50.0,0,240,1,1,0,,0,0,0,0.0,,0,,0,53,0,0
Alvin Davis Jr.,25442,S,AKRON,11,0,1,102,67.5,0,2,12,3.6,16.7,2,2,8.3,0,330,12,2,0,58.9,0,0,1,1.2,0.0,0,0.0,0,81,1,0
Anfernee Jennings,25449,ED,ALABAMA,13,3,4,103,88.2,15,21,276,79.2,18.8,52,10,9.4,8,371,294,44,0,82.2,6,12,124,89.4,24.2,30,11.3,5,151,135,23
Shyheim Carter,25451,CB,ALABAMA,13,1,0,103,58.7,1,1,21,6.1,0.0,0,0,4.8,0,396,24,2,0,53.1,0,0,5,4.2,0.0,0,0.0,0,167,7,0
Malik Lawal,25510,LB,TULANE,13,0,0,319,69.8,4,11,88,54.4,17.0,15,2,9.7,1,182,99,16,0,70.4,3,9,43,69.1,23.3,10,14.0,0,68,47,12
Tyler Whiley,25511,S,ARIZONA ST,7,0,0,110,62.2,2,0,8,13.4,0.0,0,1,12.5,0,67,9,2,0,64.8,2,0,5,21.7,0.0,0,20.0,0,23,5,2
Sean Adesanya,25543,ED,C MICHIGAN,14,1,0,134,77.5,9,25,371,97.5,12.4,46,5,6.7,8,400,390,42,0,81.6,7,10,150,98.7,18.7,28,9.0,5,156,154,22
Jared Atkinson,25636,WR,BAYLOR,1,0,0,118,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Jameson Houston,25642,CB,BAYLOR,14,0,1,118,62.2,0,3,10,2.2,20.0,2,5,15.0,0,492,11,3,0,56.1,0,2,5,9.5,20.0,1,20.0,0,63,6,2
Bravvion Roy,25644,DI,BAYLOR,14,0,0,118,83.7,15,30,408,97.7,12.0,49,1,7.0,6,432,422,51,0,88.4,6,4,51,93.0,25.5,13,17.6,4,57,53,14
Clay Johnston,25685,LB,BAYLOR,6,0,0,118,77.3,2,5,26,13.0,15.4,4,0,28.8,4,207,27,11,0,84.2,2,4,13,46.7,30.8,4,30.8,1,30,14,7
Chris Miller,25686,S,BAYLOR,13,0,1,118,52.2,0,1,10,2.9,0.0,0,4,5.0,0,413,12,1,0,54.0,0,0,3,10.0,0.0,0,0.0,0,50,5,0
Henry Black,25687,S,BAYLOR,14,0,1,118,60.2,1,1,17,3.5,11.8,2,2,5.9,0,542,19,2,0,65.6,1,1,7,12.3,28.6,2,14.3,0,65,8,2
David Konowalski,25701,ED,BOWL GREEN,12,1,1,122,63.4,5,11,324,100.0,6.8,22,2,3.4,3,339,339,19,0,65.0,1,5,99,100.0,11.1,11,4.0,1,104,104,7
Antonyo Sotolongo,25704,S,BOWL GREEN,9,0,0,122,53.4,0,1,6,4.3,0.0,0,1,8.3,0,162,7,1,0,54.1,0,1,3,5.8,0.0,0,16.7,0,52,3,1
Luc Bequette,25776,DI,CAL,13,2,1,130,60.8,4,13,405,98.8,4.7,19,2,2.8,3,423,418,20,1,60.3,0,7,150,100.0,6.7,10,3.7,2,154,154,9
Zeandae Johnson,25779,DI,CAL,13,0,0,130,67.6,1,23,362,99.2,8.3,30,0,4.4,4,381,378,28,0,76.9,1,18,135,100.0,15.6,21,8.5,2,140,140,21
